,Total,Utility_Gas,BottledTankLPGas,Electricity,Fuel,Coal,Wood,Solar,Other,state,county
2282,4292.0,1055.0,544.0,2251.0,260.0,8.0,101.0,12.0,23.0,48,043
2283,14614.0,4667.0,1318.0,8409.0,0.0,0.0,169.0,4.0,40.0,48,049
2284,13774.0,2447.0,1393.0,9805.0,11.0,0.0,98.0,0.0,7.0,48,055
2285,126968.0,8122.0,2142.0,115354.0,41.0,23.0,91.0,18.0,24.0,48,061
2286,11962.0,3139.0,1208.0,7410.0,23.0,0.0,179.0,0.0,0.0,48,067
2287,18540.0,4984.0,1961.0,10646.0,52.0,0.0,758.0,5.0,67.0,48,073
2288,1026.0,663.0,94.0,266.0,0.0,0.0,3.0,0.0,0.0,48,079
2289,353491.0,169531.0,6623.0,175110.0,169.0,17.0,298.0,351.0,355.0,48,085
2290,7017.0,2238.0,630.0,3776.0,0.0,0.0,294.0,0.0,20.0,48,133
2291,59399.0,12102.0,3081.0,43607.0,23.0,2.0,102.0,78.0,24.0,48,139
2292,5552.0,1567.0,722.0,3061.0,84.0,0.0,76.0,31.0,0.0,48,145
2293,1676.0,663.0,221.0,714.0,0.0,0.0,46.0,0.0,12.0,48,151
2294,248299.0,149223.0,6287.0,91151.0,154.0,16.0,198.0,57.0,221.0,48,157
2295,4673.0,722.0,142.0,3722.0,0.0,11.0,11.0,0.0,0.0,48,163
2296,125204.0,58548.0,2399.0,63357.0,68.0,0.0,50.0,100.0,220.0,48,167
2297,435.0,15.0,67.0,353.0,0.0,0.0,0.0,0.0,0.0,48,173
2298,7843.0,5018.0,113.0,2520.0,18.0,0.0,82.0,0.0,76.0,48,179
2299,9206.0,1067.0,1681.0,6290.0,27.0,3.0,107.0,7.0,11.0,48,185
2300,1252.0,794.0,47.0,390.0,0.0,0.0,21.0,0.0,0.0,48,191
2301,1672.0,1043.0,75.0,521.0,0.0,0.0,22.0,0.0,0.0,48,197
2302,24981.0,13057.0,4767.0,4525.0,399.0,14.0,1581.0,0.0,473.0,26,073
2303,104278.0,78220.0,5855.0,16223.0,1184.0,14.0,1509.0,70.0,529.0,26,077
2304,7173.0,2396.0,2621.0,420.0,116.0,0.0,1193.0,0.0,398.0,26,079
2305,1079.0,423.0,367.0,55.0,73.0,0.0,146.0,0.0,14.0,26,083
2306,4985.0,710.0,2615.0,253.0,209.0,2.0,1025.0,2.0,144.0,26,085
2307,9201.0,4237.0,2734.0,950.0,487.0,0.0,652.0,14.0,85.0,26,089
2308,72905.0,56796.0,6294.0,6017.0,1575.0,0.0,1717.0,0.0,354.0,26,093
2309,2258.0,999.0,622.0,200.0,46.0,0.0,331.0,0.0,51.0,26,095
2310,349340.0,313593.0,5363.0,26772.0,411.0,45.0,839.0,11.0,871.0,26,099
2311,9701.0,5150.0,2388.0,793.0,174.0,3.0,1079.0,0.0,105.0,26,101
2312,12296.0,5958.0,3376.0,1297.0,171.0,0.0,1195.0,0.0,211.0,26,105
2313,16276.0,8031.0,4310.0,1569.0,517.0,7.0,1466.0,5.0,325.0,26,107
2314,34253.0,23000.0,5192.0,3208.0,281.0,20.0,1968.0,13.0,426.0,26,111
2315,60804.0,49079.0,5021.0,4819.0,331.0,0.0,812.0,0.0,542.0,26,115
2316,24143.0,11150.0,7434.0,1556.0,462.0,3.0,2702.0,0.0,437.0,26,117
2317,66064.0,52741.0,5780.0,4179.0,730.0,11.0,2060.0,0.0,431.0,26,121
2318,19365.0,6236.0,6880.0,1291.0,962.0,5.0,3295.0,0.0,578.0,26,123
2319,10208.0,3089.0,3903.0,767.0,573.0,3.0,1423.0,66.0,289.0,26,127
2320,9314.0,3080.0,3416.0,703.0,257.0,0.0,1442.0,8.0,396.0,26,129
2321,9332.0,2740.0,3680.0,530.0,336.0,18.0,1706.0,2.0,250.0,26,133
2322,3732.0,1140.0,1328.0,245.0,41.0,15.0,928.0,0.0,35.0,26,135
2323,104586.0,87324.0,4991.0,8893.0,915.0,13.0,1456.0,44.0,633.0,26,139
2324,11420.0,7706.0,1883.0,865.0,30.0,0.0,737.0,0.0,184.0,26,143
2325,78980.0,60348.0,6647.0,8164.0,842.0,7.0,1691.0,6.0,782.0,26,145
2326,24319.0,14720.0,4729.0,2270.0,570.0,124.0,1328.0,0.0,296.0,26,149
2327,17920.0,7986.0,5172.0,1763.0,765.0,0.0,1611.0,5.0,341.0,26,151
2328,27762.0,17076.0,5057.0,2451.0,1206.0,8.0,1233.0,0.0,595.0,26,155
2329,21719.0,9465.0,7293.0,1663.0,1100.0,6.0,1503.0,29.0,482.0,26,157
2330,143040.0,110359.0,5220.0,24139.0,973.0,11.0,1122.0,23.0,567.0,26,161
2331,694858.0,611062.0,7216.0,66687.0,838.0,52.0,1465.0,108.0,3159.0,26,163
2332,13212.0,6952.0,3508.0,746.0,153.0,4.0,1478.0,0.0,325.0,26,165
2333,11129.0,3983.0,538.0,6306.0,33.0,0.0,227.0,5.0,20.0,28,001
2334,14610.0,4665.0,1737.0,8043.0,26.0,31.0,90.0,0.0,1.0,28,003
2335,5416.0,471.0,979.0,3757.0,39.0,0.0,153.0,0.0,0.0,28,005
2336,6890.0,2393.0,1609.0,2575.0,0.0,0.0,292.0,0.0,21.0,28,007
2337,3183.0,845.0,544.0,1609.0,62.0,0.0,113.0,0.0,7.0,28,009
2338,12114.0,5623.0,1381.0,5012.0,83.0,0.0,0.0,0.0,15.0,28,011
2339,5771.0,1251.0,1192.0,3080.0,0.0,0.0,233.0,1.0,0.0,28,013
2340,4018.0,650.0,1739.0,1507.0,0.0,0.0,101.0,0.0,0.0,28,015
2341,6523.0,1452.0,1502.0,3476.0,8.0,0.0,68.0,0.0,12.0,28,017
2342,3353.0,633.0,1021.0,1565.0,10.0,0.0,105.0,0.0,0.0,28,019
2343,2900.0,536.0,643.0,1596.0,6.0,0.0,98.0,0.0,21.0,28,021
2344,6253.0,1004.0,832.0,4320.0,4.0,0.0,93.0,0.0,0.0,28,023
2345,7728.0,2452.0,1400.0,3770.0,0.0,0.0,56.0,0.0,0.0,28,025
2346,8614.0,4587.0,1000.0,2943.0,0.0,0.0,15.0,5.0,45.0,28,027
2347,9568.0,2071.0,2274.0,4946.0,0.0,0.0,241.0,0.0,0.0,28,029
2348,7042.0,795.0,1363.0,4756.0,0.0,0.0,82.0,0.0,0.0,28,031
2349,64424.0,35886.0,3566.0,24161.0,75.0,0.0,562.0,0.0,31.0,28,033
2350,28116.0,6924.0,1327.0,19525.0,82.0,0.0,97.0,0.0,0.0,28,035
2351,3031.0,693.0,586.0,1628.0,20.0,0.0,86.0,0.0,0.0,28,037
2352,3825.0,290.0,488.0,2894.0,0.0,0.0,123.0,0.0,0.0,28,041
2353,8476.0,3343.0,1048.0,4012.0,0.0,0.0,36.0,29.0,0.0,28,043
2354,80097.0,15569.0,1769.0,61896.0,0.0,0.0,359.0,38.0,105.0,28,047
2355,88832.0,41524.0,3855.0,42502.0,22.0,0.0,381.0,0.0,82.0,28,049
2356,3197.0,1317.0,457.0,1234.0,180.0,0.0,0.0,0.0,9.0,28,053
2357,462.0,32.0,181.0,244.0,0.0,0.0,3.0,0.0,0.0,28,055
2358,53878.0,6792.0,1652.0,44602.0,34.0,0.0,162.0,34.0,10.0,28,059
2359,6616.0,500.0,1715.0,4266.0,1.0,0.0,71.0,19.0,19.0,28,061
2360,4969.0,2376.0,776.0,970.0,289.0,57.0,354.0,0.0,147.0,39,121
2361,7692.0,2270.0,2166.0,2782.0,71.0,0.0,278.0,0.0,102.0,39,125
