,NAME,state,county
600,"Haywood County, North Carolina",37,087
601,"Hyde County, North Carolina",37,095
602,"Johnston County, North Carolina",37,101
603,"Lenoir County, North Carolina",37,107
604,"Macon County, North Carolina",37,113
605,"Mecklenburg County, North Carolina",37,119
606,"Stanly County, North Carolina",37,167
607,"Swain County, North Carolina",37,173
608,"Union County, North Carolina",37,179
609,"Warren County, North Carolina",37,185
610,"Wayne County, North Carolina",37,191
611,"Yadkin County, North Carolina",37,197
612,"Bergen County, New Jersey",34,003
613,"Cape May County, New Jersey",34,009
614,"Gloucester County, New Jersey",34,015
615,"Mercer County, New Jersey",34,021
616,"Morris County, New Jersey",34,027
617,"Salem County, New Jersey",34,033
618,"Union County, New Jersey",34,039
619,"Allen County, Indiana",18,003
620,"Blackford County, Indiana",18,009
621,"Carroll County, Indiana",18,015
622,"Clay County, Indiana",18,021
623,"Daviess County, Indiana",18,027
624,"DeKalb County, Indiana",18,033
625,"Elkhart County, Indiana",18,039
626,"Kosciusko County, Indiana",18,085
627,"LaPorte County, Indiana",18,091
628,"Marion County, Indiana",18,097
629,"Miami County, Indiana",18,103
630,"Morgan County, Indiana",18,109
631,"Ohio County, Indiana",18,115
632,"Parke County, Indiana",18,121
633,"Porter County, Indiana",18,127
634,"Putnam County, Indiana",18,133
635,"Rush County, Indiana",18,139
636,"Scott County, Indiana",18,143
637,"Starke County, Indiana",18,149
638,"Switzerland County, Indiana",18,155
639,"Union County, Indiana",18,161
640,"Vigo County, Indiana",18,167
641,"Warrick County, Indiana",18,173
642,"Wells County, Indiana",18,179
643,"Barnstable County, Massachusetts",25,001
644,"Dukes County, Massachusetts",25,007
645,"Hampden County, Massachusetts",25,013
646,"Nantucket County, Massachusetts",25,019
647,"Darke County, Ohio",39,037
648,"Erie County, Ohio",39,043
649,"Franklin County, Ohio",39,049
650,"Geauga County, Ohio",39,055
651,"Hamilton County, Ohio",39,061
652,"Harrison County, Ohio",39,067
653,"Highland County, Ohio",39,071
654,"Huron County, Ohio",39,077
655,"Nevada County, Arkansas",05,099
656,"Newton County, Arkansas",05,101
657,"Ouachita County, Arkansas",05,103
658,"Perry County, Arkansas",05,105
659,"Phillips County, Arkansas",05,107
660,"Pike County, Arkansas",05,109
661,"Poinsett County, Arkansas",05,111
662,"Polk County, Arkansas",05,113
663,"Pope County, Arkansas",05,115
664,"Prairie County, Arkansas",05,117
665,"Pulaski County, Arkansas",05,119
666,"Randolph County, Arkansas",05,121
667,"St. Francis County, Arkansas",05,123
668,"Saline County, Arkansas",05,125
669,"Scott County, Arkansas",05,127
670,"Searcy County, Arkansas",05,129
671,"Sebastian County, Arkansas",05,131
672,"Sevier County, Arkansas",05,133
673,"Sharp County, Arkansas",05,135
674,"Stone County, Arkansas",05,137
675,"Union County, Arkansas",05,139
676,"Washington County, Arkansas",05,143
677,"White County, Arkansas",05,145
678,"Yell County, Arkansas",05,149
679,"Hartford County, Connecticut",09,003
680,"Litchfield County, Connecticut",09,005
681,"New Haven County, Connecticut",09,009
682,"New London County, Connecticut",09,011
683,"Windham County, Connecticut",09,015
684,"District of Columbia, District of Columbia",11,001
685,"Aleutians West Census Area, Alaska",02,016
686,"Anchorage Municipality, Alaska",02,020
687,"Bristol Bay Borough, Alaska",02,060
688,"Chugach Census Area, Alaska",02,063
689,"Denali Borough, Alaska",02,068
690,"Dillingham Census Area, Alaska",02,070
691,"Haines Borough, Alaska",02,100
692,"Hoonah-Angoon Census Area, Alaska",02,105
693,"Kenai Peninsula Borough, Alaska",02,122
694,"Ketchikan Gateway Borough, Alaska",02,130
695,"Kusilvak Census Area, Alaska",02,158
696,"Matanuska-Susitna Borough, Alaska",02,170
697,"Nome Census Area, Alaska",02,180
698,"Northwest Arctic Borough, Alaska",02,188
699,"Petersburg Borough, Alaska",02,195
700,"Sitka City and Borough, Alaska",02,220
701,"Skagway Municipality, Alaska",02,230
702,"Wrangell City and Borough, Alaska",02,275
703,"Yakutat City and Borough, Alaska",02,282
704,"Yukon-Koyukuk Census Area, Alaska",02,290
705,"Alamosa County, Colorado",08,003
706,"Archuleta County, Colorado",08,007
707,"Baca County, Colorado",08,009
708,"Boulder County, Colorado",08,013
709,"Broomfield County, Colorado",08,014
710,"Cheyenne County, Colorado",08,017
711,"Conejos County, Colorado",08,021
712,"Costilla County, Colorado",08,023
713,"Ralls County, Missouri",29,173
714,"Randolph County, Missouri",29,175
715,"Ray County, Missouri",29,177
716,"Reynolds County, Missouri",29,179
717,"Ripley County, Missouri",29,181
718,"St. Charles County, Missouri",29,183
719,"St. Clair County, Missouri",29,185
720,"Ste. Genevieve County, Missouri",29,186
721,"St. Francois County, Missouri",29,187
